energy_GeV,dataset,point_index,T_MeV,T_err_plus_MeV,T_err_minus_MeV,muB_MeV,muB_err_plus_MeV,muB_err_minus_MeV,centrality_note,source,source_doi,source_url
2.24,SIS,1,54,2,2,808,5,5,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
2.32,SIS,2,58,4,4,792,7,7,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
2.32,SIS,3,50,1,1,818,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
2.32,SIS,4,50,1,1,810,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
2.32,SIS,5,52,2,2,822,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
4.86,AGS,1,123,5,5,558,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
4.86,AGS,2,119,5,5,578,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
4.86,AGS,3,118,3,3,554,13,13,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
6.27,SPS,1,136,5,5,472,14,14,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
6.27,SPS,2,131,5,5,467,13,13,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
7.62,SPS,3,144,5,5,406,19,19,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
7.62,SPS,4,140,3,3,414,16,16,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
8.77,SPS,5,148,5,5,367,14,14,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
8.77,SPS,6,143,3,3,381,9,9,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
8.77,SPS,7,146,3,3,382,9,9,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
12.3,SPS,8,155,5,5,284,15,15,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
12.3,SPS,9,150,5,5,294,11,11,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
12.3,SPS,10,154,4,4,298,10,10,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
17.3,SPS,11,161,6,6,260,30,30,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
17.3,SPS,12,155,3,3,246,10,10,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
17.3,SPS,13,158,2,2,249,8,8,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
130,RHIC,1,165,7,7,41,5,5,Central heavy-ion collisions; exact cuts depend on original experiments in Ref.[22].,HEPData ins871561 Fig11 (Ref.[22] compilation in STAR PRC83 024901),"10.17182/hepdata.96847.v2/t19,t20",https://www.hepdata.net/record/ins871561
